set terminal pdf
set title "Sample plot generated by BeepBeep 3"
set datafile separator ","
plot "-" u 1:2 t "S.WL3" w linespoints, "-" u 1:3 t "S.WL2" w linespoints, "-" u 1:4 t "S.WL1" w linespoints, "-" u 1:5 t "S.VARL2" w linespoints, "-" u 1:6 t "S.VARL3" w linespoints, "-" u 1:7 t "S.VARL1" w linespoints, "-" u 1:8 t "T.x" w linespoints
7150.7,315.08,1293.38,444.65,-384.25,-228.84,-199.89,0
7150.763,310.62,1270.37,393.16,-370.77,-233.41,-166.59,0
7150.81,310.62,1270.37,393.16,-370.77,-233.41,-166.59,0
7150.856,310.62,1270.37,393.16,-370.77,-233.41,-166.59,0
7150.903,311.72,1272.14,449.12,-378.06,-229.92,-190.90,0
7150.935,316.57,1226.05,395.30,-352.02,-232.57,-158.21,0
7150.981,316.57,1226.05,395.30,-352.02,-232.57,-158.21,0
7151.028,311.27,1262.92,403.52,-364.25,-232.27,-177.63,0

e
7143.873,302.18,492.42,400.04,-342.22,-230.00,-179.22,0
7143.92,308.93,497.88,401.43,-347.38,-231.24,-179.61,0
7143.951,308.93,497.88,401.43,-347.38,-231.24,-179.61,0
7143.998,308.01,462.35,452.88,-343.23,-229.41,-204.37,0
7144.045,308.01,462.35,452.88,-343.23,-229.41,-204.37,0
7144.092,309.26,473.64,429.83,-338.60,-232.50,-195.05,0
7144.213,309.26,473.64,429.83,-338.60,-232.50,-195.05,0
7144.322,334.85,495.24,388.18,-341.23,-236.05,-172.72,0
7144.369,308.39,493.93,396.04,-344.64,-232.03,-178.34,0
7144.416,306.61,491.11,396.35,-348.61,-232.32,-179.46,0
7144.556,309.75,495.91,413.27,-349.34,-232.06,-181.50,0
7144.603,303.77,495.90,366.76,-339.48,-233.88,-155.82,0
7144.635,303.77,495.90,366.76,-339.48,-233.88,-155.82,0
7144.681,307.46,496.35,405.83,-342.56,-229.97,-182.76,0
7144.76,307.46,496.35,405.83,-342.56,-229.97,-182.76,0
7144.806,307.46,482.86,404.60,-338.51,-231.70,-181.67,0
7144.838,306.02,491.57,406.21,-352.76,-229.85,-187.37,0
7145.286,306.02,491.57,406.21,-352.76,-229.85,-187.37,0
7145.911,309.88,456.14,406.66,-320.38,-233.56,-168.92,0
7145.958,317.44,484.85,444.62,-347.38,-233.13,-196.08,0
7146.02,312.61,528.88,380.25,-352.37,-235.57,-167.11,0
7146.692,308.70,1324.95,441.54,-392.63,-230.14,-204.73,868.80994
7146.755,317.18,1290.43,466.35,-369.70,-233.18,-203.91,0
7146.802,317.18,1290.43,466.35,-369.70,-233.18,-203.91,0
7146.848,314.90,1283.88,424.64,-369.34,-233.94,-188.57,0
7146.895,314.90,1283.88,424.64,-369.34,-233.94,-188.57,0
7146.958,317.05,1293.52,410.64,-384.88,-235.24,-183.25,0
7146.989,314.41,1264.41,367.14,-370.93,-237.43,-157.06,0
7147.036,314.41,1264.41,367.14,-370.93,-237.43,-157.06,0
7147.098,318.35,1254.95,419.73,-364.56,-236.17,-183.50,0
7147.757,313.55,1330.12,421.40,-402.31,-232.10,-188.62,0
7147.788,317.32,1244.86,381.90,-358.67,-238.71,-150.62,0
7147.819,317.32,1244.86,381.90,-358.67,-238.71,-150.62,0
7147.866,315.94,1240.13,380.99,-355.38,-239.00,-152.85,0
7147.897,315.94,1240.13,380.99,-355.38,-239.00,-152.85,0
7147.944,307.71,1274.80,410.00,-375.16,-230.16,-175.33,0
7147.991,307.71,1274.80,410.00,-375.16,-230.16,-175.33,0
7148.038,309.49,1300.14,448.07,-374.92,-229.10,-196.70,0
7148.069,309.49,1300.14,448.07,-374.92,-229.10,-196.70,0
7148.1,312.87,1250.88,390.75,-365.40,-234.30,-173.97,0
7148.147,312.87,1250.88,390.75,-365.40,-234.30,-173.97,0
7148.189,302.16,1327.67,431.05,-396.51,-230.40,-175.24,0
7148.221,302.16,1327.67,431.05,-396.51,-230.40,-175.24,0
7148.252,316.59,1302.33,414.57,-385.01,-232.04,-167.22,0
7148.299,316.59,1302.33,414.57,-385.01,-232.04,-167.22,0
7148.361,316.59,1302.33,414.57,-385.01,-232.04,-167.22,0
7148.408,314.44,1235.42,391.50,-351.66,-236.99,-150.86,0
7148.455,316.16,1267.16,413.84,-368.86,-236.01,-182.65,0
7148.502,316.16,1267.16,413.84,-368.86,-236.01,-182.65,0
7148.549,310.47,1299.85,404.78,-391.10,-233.47,-170.44,0
7148.611,313.89,1273.74,413.57,-375.75,-235.85,-188.76,0
7148.658,313.89,1273.74,413.57,-375.75,-235.85,-188.76,0
7148.689,318.07,1261.01,423.00,-370.13,-237.37,-174.96,0
7148.736,318.07,1261.01,423.00,-370.13,-237.37,-174.96,0
7148.783,314.00,1269.53,440.14,-373.27,-231.13,-189.15,0
7148.814,314.00,1269.53,440.14,-373.27,-231.13,-189.15,0
7148.861,303.01,1319.56,384.87,-396.68,-232.62,-157.28,0
7148.908,303.01,1319.56,384.87,-396.68,-232.62,-157.28,0
7148.939,313.17,1249.06,406.09,-375.02,-232.87,-173.93,0
7148.986,313.17,1249.06,406.09,-375.02,-232.87,-173.93,0
7149.252,309.97,1304.06,432.14,-387.59,-229.57,-192.01,0
7149.377,313.60,1260.08,412.18,-366.82,-231.83,-178.72,0
7149.424,309.13,1268.95,386.02,-378.61,-231.83,-166.56,0
7149.486,311.38,1268.18,393.49,-373.74,-234.02,-168.52,0
7149.533,307.52,1235.29,363.70,-357.67,-233.88,-148.02,0
7149.564,307.52,1235.29,363.70,-357.67,-233.88,-148.02,0
7149.611,310.10,1225.05,378.03,-353.55,-234.17,-155.32,0
7149.643,310.10,1225.05,378.03,-353.55,-234.17,-155.32,0
7149.705,309.95,1275.95,392.19,-371.20,-231.53,-174.66,0
7149.736,309.95,1275.95,392.19,-371.20,-231.53,-174.66,0
7149.783,308.48,1279.44,416.22,-373.12,-230.84,-181.34,0
7149.83,308.48,1279.44,416.22,-373.12,-230.84,-181.34,0
7149.861,308.04,1264.26,419.95,-368.61,-232.86,-185.39,0
7149.893,308.04,1264.26,419.95,-368.61,-232.86,-185.39,0
7149.939,306.78,1281.91,393.25,-383.68,-232.23,-172.58,0
7149.986,306.78,1281.91,393.25,-383.68,-232.23,-172.58,0
7150.033,308.02,1303.64,424.39,-390.79,-233.95,-176.40,0
7150.064,308.02,1303.64,424.39,-390.79,-233.95,-176.40,0
7150.127,315.15,1236.10,427.94,-354.12,-233.41,-177.52,0
7150.158,315.15,1236.10,427.94,-354.12,-233.41,-177.52,0
7150.2,306.11,1271.28,409.55,-377.00,-232.44,-177.26,0
7150.247,306.11,1271.28,409.55,-377.00,-232.44,-177.26,0
7150.278,313.51,1306.06,409.22,-391.05,-232.31,-179.24,0
7150.325,313.51,1306.06,409.22,-391.05,-232.31,-179.24,0
7150.357,306.91,1262.41,401.40,-375.48,-233.28,-169.79,0
7150.403,306.91,1262.41,401.40,-375.48,-233.28,-169.79,0
7150.435,313.21,1234.63,418.30,-353.11,-233.69,-186.49,0
7150.482,313.21,1234.63,418.30,-353.11,-233.69,-186.49,0
7150.513,306.09,1259.85,393.83,-365.85,-231.75,-167.12,0
7150.56,306.09,1259.85,393.83,-365.85,-231.75,-167.12,0
7150.591,316.09,1306.53,398.93,-385.81,-230.44,-185.52,0
7150.638,316.09,1306.53,398.93,-385.81,-230.44,-185.52,0
7150.669,315.08,1293.38,444.65,-384.25,-228.84,-199.89,0
7150.7,315.08,1293.38,444.65,-384.25,-228.84,-199.89,0
7150.763,310.62,1270.37,393.16,-370.77,-233.41,-166.59,0
7150.81,310.62,1270.37,393.16,-370.77,-233.41,-166.59,0
7150.856,310.62,1270.37,393.16,-370.77,-233.41,-166.59,0
7150.903,311.72,1272.14,449.12,-378.06,-229.92,-190.90,0
7150.935,316.57,1226.05,395.30,-352.02,-232.57,-158.21,0
7150.981,316.57,1226.05,395.30,-352.02,-232.57,-158.21,0
7151.028,311.27,1262.92,403.52,-364.25,-232.27,-177.63,0

e
7143.873,302.18,492.42,400.04,-342.22,-230.00,-179.22,0
7143.92,308.93,497.88,401.43,-347.38,-231.24,-179.61,0
7143.951,308.93,497.88,401.43,-347.38,-231.24,-179.61,0
7143.998,308.01,462.35,452.88,-343.23,-229.41,-204.37,0
7144.045,308.01,462.35,452.88,-343.23,-229.41,-204.37,0
7144.092,309.26,473.64,429.83,-338.60,-232.50,-195.05,0
7144.213,309.26,473.64,429.83,-338.60,-232.50,-195.05,0
7144.322,334.85,495.24,388.18,-341.23,-236.05,-172.72,0
7144.369,308.39,493.93,396.04,-344.64,-232.03,-178.34,0
7144.416,306.61,491.11,396.35,-348.61,-232.32,-179.46,0
7144.556,309.75,495.91,413.27,-349.34,-232.06,-181.50,0
7144.603,303.77,495.90,366.76,-339.48,-233.88,-155.82,0
7144.635,303.77,495.90,366.76,-339.48,-233.88,-155.82,0
7144.681,307.46,496.35,405.83,-342.56,-229.97,-182.76,0
7144.76,307.46,496.35,405.83,-342.56,-229.97,-182.76,0
7144.806,307.46,482.86,404.60,-338.51,-231.70,-181.67,0
7144.838,306.02,491.57,406.21,-352.76,-229.85,-187.37,0
7145.286,306.02,491.57,406.21,-352.76,-229.85,-187.37,0
7145.911,309.88,456.14,406.66,-320.38,-233.56,-168.92,0
7145.958,317.44,484.85,444.62,-347.38,-233.13,-196.08,0
7146.02,312.61,528.88,380.25,-352.37,-235.57,-167.11,0
7146.692,308.70,1324.95,441.54,-392.63,-230.14,-204.73,868.80994
7146.755,317.18,1290.43,466.35,-369.70,-233.18,-203.91,0
7146.802,317.18,1290.43,466.35,-369.70,-233.18,-203.91,0
7146.848,314.90,1283.88,424.64,-369.34,-233.94,-188.57,0
7146.895,314.90,1283.88,424.64,-369.34,-233.94,-188.57,0
7146.958,317.05,1293.52,410.64,-384.88,-235.24,-183.25,0
7146.989,314.41,1264.41,367.14,-370.93,-237.43,-157.06,0
7147.036,314.41,1264.41,367.14,-370.93,-237.43,-157.06,0
7147.098,318.35,1254.95,419.73,-364.56,-236.17,-183.50,0
7147.757,313.55,1330.12,421.40,-402.31,-232.10,-188.62,0
7147.788,317.32,1244.86,381.90,-358.67,-238.71,-150.62,0
7147.819,317.32,1244.86,381.90,-358.67,-238.71,-150.62,0
7147.866,315.94,1240.13,380.99,-355.38,-239.00,-152.85,0
7147.897,315.94,1240.13,380.99,-355.38,-239.00,-152.85,0
7147.944,307.71,1274.80,410.00,-375.16,-230.16,-175.33,0
7147.991,307.71,1274.80,410.00,-375.16,-230.16,-175.33,0
7148.038,309.49,1300.14,448.07,-374.92,-229.10,-196.70,0
7148.069,309.49,1300.14,448.07,-374.92,-229.10,-196.70,0
7148.1,312.87,1250.88,390.75,-365.40,-234.30,-173.97,0
7148.147,312.87,1250.88,390.75,-365.40,-234.30,-173.97,0
7148.189,302.16,1327.67,431.05,-396.51,-230.40,-175.24,0
7148.221,302.16,1327.67,431.05,-396.51,-230.40,-175.24,0
7148.252,316.59,1302.33,414.57,-385.01,-232.04,-167.22,0
7148.299,316.59,1302.33,414.57,-385.01,-232.04,-167.22,0
7148.361,316.59,1302.33,414.57,-385.01,-232.04,-167.22,0
7148.408,314.44,1235.42,391.50,-351.66,-236.99,-150.86,0
7148.455,316.16,1267.16,413.84,-368.86,-236.01,-182.65,0
7148.502,316.16,1267.16,413.84,-368.86,-236.01,-182.65,0
7148.549,310.47,1299.85,404.78,-391.10,-233.47,-170.44,0
7148.611,313.89,1273.74,413.57,-375.75,-235.85,-188.76,0
7148.658,313.89,1273.74,413.57,-375.75,-235.85,-188.76,0
7148.689,318.07,1261.01,423.00,-370.13,-237.37,-174.96,0
7148.736,318.07,1261.01,423.00,-370.13,-237.37,-174.96,0
7148.783,314.00,1269.53,440.14,-373.27,-231.13,-189.15,0
7148.814,314.00,1269.53,440.14,-373.27,-231.13,-189.15,0
7148.861,303.01,1319.56,384.87,-396.68,-232.62,-157.28,0
7148.908,303.01,1319.56,384.87,-396.68,-232.62,-157.28,0
7148.939,313.17,1249.06,406.09,-375.02,-232.87,-173.93,0
7148.986,313.17,1249.06,406.09,-375.02,-232.87,-173.93,0
7149.252,309.97,1304.06,432.14,-387.59,-229.57,-192.01,0
7149.377,313.60,1260.08,412.18,-366.82,-231.83,-178.72,0
7149.424,309.13,1268.95,386.02,-378.61,-231.83,-166.56,0
7149.486,311.38,1268.18,393.49,-373.74,-234.02,-168.52,0
7149.533,307.52,1235.29,363.70,-357.67,-233.88,-148.02,0
7149.564,307.52,1235.29,363.70,-357.67,-233.88,-148.02,0
7149.611,310.10,1225.05,378.03,-353.55,-234.17,-155.32,0
7149.643,310.10,1225.05,378.03,-353.55,-234.17,-155.32,0
7149.705,309.95,1275.95,392.19,-371.20,-231.53,-174.66,0
7149.736,309.95,1275.95,392.19,-371.20,-231.53,-174.66,0
7149.783,308.48,1279.44,416.22,-373.12,-230.84,-181.34,0
7149.83,308.48,1279.44,416.22,-373.12,-230.84,-181.34,0
7149.861,308.04,1264.26,419.95,-368.61,-232.86,-185.39,0
7149.893,308.04,1264.26,419.95,-368.61,-232.86,-185.39,0
7149.939,306.78,1281.91,393.25,-383.68,-232.23,-172.58,0
7149.986,306.78,1281.91,393.25,-383.68,-232.23,-172.58,0
7150.033,308.02,1303.64,424.39,-390.79,-233.95,-176.40,0
7150.064,308.02,1303.64,424.39,-390.79,-233.95,-176.40,0
7150.127,315.15,1236.10,427.94,-354.12,-233.41,-177.52,0
7150.158,315.15,1236.10,427.94,-354.12,-233.41,-177.52,0
7150.2,306.11,1271.28,409.55,-377.00,-232.44,-177.26,0
7150.247,306.11,1271.28,409.55,-377.00,-232.44,-177.26,0
7150.278,313.51,1306.06,409.22,-391.05,-232.31,-179.24,0
7150.325,313.51,1306.06,409.22,-391.05,-232.31,-179.24,0
7150.357,306.91,1262.41,401.40,-375.48,-233.28,-169.79,0
7150.403,306.91,1262.41,401.40,-375.48,-233.28,-169.79,0
7150.435,313.21,1234.63,418.30,-353.11,-233.69,-186.49,0
