set terminal pdf
set title "Sample plot generated by BeepBeep 3"
set datafile separator ","
plot "-" u 1:2 t "S.WL3" w linespoints, "-" u 1:3 t "S.WL2" w linespoints, "-" u 1:4 t "S.WL1" w linespoints, "-" u 1:5 t "T.x" w linespoints
8890.124,414.23,463.34,398.56,0
8890.164,414.23,463.34,398.56,0
8890.198,404.72,517.03,367.08,0
8890.245,404.72,517.03,367.08,0
8890.292,407.01,510.71,444.34,0
8890.338,407.01,510.71,444.34,0
8890.385,411.67,452.18,455.80,0
8890.432,411.67,452.18,455.80,0
8890.479,408.97,456.59,386.65,0
8890.542,406.02,490.78,359.64,0
8890.573,406.02,490.78,359.64,0
8890.604,406.02,490.78,359.64,0
8890.651,404.17,534.78,395.64,0
8890.682,404.17,534.78,395.64,0
8890.729,410.93,486.83,455.42,0
8890.76,410.93,486.83,455.42,0
8890.807,413.28,438.75,423.13,0
8890.838,413.28,438.75,423.13,0
8890.885,404.11,496.20,392.23,0
8890.948,404.11,496.20,392.23,0
8890.979,408.49,453.92,390.89,0
8891.026,408.49,453.92,390.89,0
8891.057,406.67,482.15,402.14,0
8891.104,406.67,482.15,402.14,0
8891.135,411.86,485.83,403.22,0
8891.182,411.86,485.83,403.22,0
8891.213,406.30,497.55,408.48,0
8891.26,406.30,497.55,408.48,0
8891.292,407.34,502.64,429.14,0
8891.323,407.34,502.64,429.14,0
8891.354,407.34,502.64,429.14,0
8891.401,403.27,515.41,398.68,0
8891.432,403.27,515.41,398.68,0
8891.479,406.15,462.65,1203.09,812.19995
8891.51,406.15,462.65,1203.09,0
8891.557,400.64,514.39,914.39,0
8891.588,400.64,514.39,914.39,0
8891.635,406.49,482.85,808.32,0
8891.667,406.49,482.85,808.32,0
8891.713,406.49,490.83,753.56,0
8891.76,406.49,490.83,753.56,0
8891.792,406.59,490.43,697.36,0
8891.838,406.59,490.43,697.36,0
8891.87,409.95,446.66,684.24,0
8891.932,409.95,446.66,684.24,0
8891.963,410.18,480.21,720.34,0
8892.026,410.18,480.21,720.34,0
8892.057,401.17,529.12,655.41,0
8892.104,401.17,529.12,655.41,0
8892.135,408.68,469.30,624.74,0
8892.167,408.68,469.30,624.74,0
8892.209,410.76,462.18,693.44,0
8892.271,410.76,462.18,693.44,0
8892.318,402.99,511.46,692.52,0
8892.349,402.99,511.46,692.52,0
8892.396,397.68,534.80,642.35,0
8892.427,397.68,534.80,642.35,0
8892.474,401.00,476.71,618.27,0
8892.505,401.00,476.71,618.27,0
8892.552,407.81,445.15,694.54,0
8892.599,407.81,445.15,694.54,0
8892.63,403.26,504.49,683.78,0
8892.677,403.26,504.49,683.78,0
8892.709,404.08,491.97,645.34,0
8892.755,404.08,491.97,645.34,0
8892.802,411.29,442.71,652.86,0
8892.834,411.29,442.71,652.86,0
8892.881,409.49,435.68,638.63,0
8892.912,409.49,435.68,638.63,0
8892.959,409.49,435.68,638.63,0
8893.006,405.58,483.02,645.06,0
8893.052,402.51,477.96,640.57,0
8893.099,402.51,477.96,640.57,0
8893.146,403.23,521.75,661.10,0
8893.193,403.23,521.75,661.10,0
8893.224,405.62,489.73,652.93,0
8893.271,405.62,489.73,652.93,0
8893.318,408.00,475.74,662.58,0
8893.365,408.00,475.74,662.58,0
8893.396,407.31,469.05,666.29,0
8893.443,407.31,469.05,666.29,0
8893.474,402.87,478.50,656.07,0
8893.521,402.87,478.50,656.07,0
8893.584,412.08,494.15,686.68,0
8893.615,409.40,458.63,637.78,0
8893.645,409.40,458.63,637.78,0
8893.684,409.40,458.63,637.78,0
8893.731,406.55,502.50,677.89,0
8893.762,406.55,502.50,677.89,0
8893.809,402.04,497.29,657.17,0
8893.856,402.04,497.29,657.17,0
8893.902,403.26,501.53,680.95,0
8893.934,403.26,501.53,680.95,0
8893.981,401.79,487.87,645.09,0
8894.027,401.79,487.87,645.09,0
8894.059,402.24,527.52,658.36,0
8894.09,402.24,527.52,658.36,0
8894.137,408.63,479.94,632.65,0
8894.179,408.63,479.94,632.65,0
8894.226,405.57,503.40,617.32,0
8894.257,405.57,503.40,617.32,0
8894.288,407.96,480.53,629.91,0
8894.335,407.96,480.53,629.91,0
8894.382,401.66,509.79,628.93,0
8894.429,401.66,509.79,628.93,0
8894.476,406.58,490.91,675.61,0
8894.507,406.58,490.91,675.61,276.25
8894.554,405.90,481.34,534.68,0
8894.585,405.90,481.34,534.68,0
8894.648,407.38,489.87,399.36,0
8894.679,407.38,489.87,399.36,0
8894.709,409.44,450.53,401.58,0
8894.756,409.44,450.53,401.58,0
8894.787,406.80,473.43,387.12,0
8894.834,406.80,473.43,387.12,0
8894.865,409.74,462.99,451.44,0
8894.928,409.74,462.99,451.44,0
8894.959,412.82,447.14,435.71,0
8895.006,412.82,447.14,435.71,0
8895.053,403.60,492.70,430.37,0
8895.084,403.60,492.70,430.37,0
8895.131,408.16,490.60,445.36,0
8895.189,408.16,490.60,445.36,0
8895.236,409.87,472.36,407.06,0
8895.267,409.87,472.36,407.06,0
8895.298,406.62,491.61,407.16,0
8895.345,406.62,491.61,407.16,0
8895.376,404.08,483.30,413.96,0
8895.439,404.08,483.30,413.96,0
8895.486,401.77,531.45,416.76,0
8895.517,401.77,531.45,416.76,0
8895.564,399.93,536.61,407.42,0
8895.611,399.93,536.61,407.42,0
8895.642,406.91,507.07,412.22,0
8895.673,406.91,507.07,412.22,0
8895.72,402.01,517.73,394.89,0
8895.767,402.01,517.73,394.89,0
8895.814,403.64,491.04,360.18,0
8895.861,403.64,491.04,360.18,0
8895.892,404.61,468.01,410.59,0
8895.939,404.61,468.01,410.59,0
8895.97,399.94,528.63,403.49,0
8896.017,399.94,528.63,403.49,0
8896.064,408.68,444.08,411.86,0
8896.095,408.68,444.08,411.86,0
8896.142,402.80,521.37,418.03,0
8896.173,402.80,521.37,418.03,0
8896.22,402.50,501.69,430.06,0
8896.267,402.50,501.69,430.06,0
8896.314,397.75,519.00,395.75,0
8896.345,397.75,519.00,395.75,0
8896.392,400.41,490.16,398.52,0
8896.423,400.41,490.16,398.52,0
8896.454,404.27,487.67,405.89,0
8896.501,404.27,487.67,405.89,0
8896.533,408.53,457.11,422.01,0
8896.579,408.53,457.11,422.01,0
8896.611,408.53,457.11,422.01,0
8896.658,410.59,440.57,406.95,0
8896.704,410.59,440.57,406.95,0
8896.751,407.58,462.01,430.86,0
8896.814,406.15,503.59,439.03,0
8896.845,406.15,503.59,439.03,0
8896.892,403.22,519.12,439.29,0
8896.923,403.22,519.12,439.29,0
8896.97,409.52,466.46,443.36,0
8897.017,409.52,466.46,443.36,0
8897.079,403.26,524.10,434.24,0
8897.126,411.21,492.33,399.66,0
8897.162,411.21,492.33,399.66,0
8897.215,403.74,516.36,408.49,0
8897.247,403.74,516.36,408.49,0
8897.278,403.74,516.36,408.49,0
8897.34,407.22,461.91,413.14,0
8897.387,403.11,524.65,412.43,0
8897.418,403.11,524.65,412.43,0
8897.481,407.51,503.40,445.50,0
8897.512,407.51,503.40,445.50,0
8897.575,418.40,477.75,451.03,0
8897.606,418.40,477.75,451.03,0
8897.653,404.75,498.41,397.25,0
8897.684,404.75,498.41,397.25,0

e
8889.357,406.81,475.82,423.08,0
8889.404,407.05,478.22,426.35,0
8889.435,407.05,478.22,426.35,0
8889.482,409.68,502.09,435.65,0
8889.513,409.68,502.09,435.65,0
8889.544,408.71,473.56,398.74,0
8889.607,408.71,473.56,398.74,0
8889.638,404.35,508.90,451.82,0
8889.673,404.35,508.90,451.82,0
8889.718,411.60,465.89,432.53,0
8889.765,411.60,465.89,432.53,0
8889.812,401.63,524.69,376.70,0
8889.843,401.63,524.69,376.70,0
8889.89,401.00,527.45,368.62,0
8889.921,401.00,527.45,368.62,0
8889.952,409.67,536.65,376.28,0
8890.015,409.67,536.65,376.28,0
8890.062,409.55,534.48,382.80,0
8890.093,409.55,534.48,382.80,0
8890.124,414.23,463.34,398.56,0
8890.164,414.23,463.34,398.56,0
8890.198,404.72,517.03,367.08,0
8890.245,404.72,517.03,367.08,0
8890.292,407.01,510.71,444.34,0
8890.338,407.01,510.71,444.34,0
8890.385,411.67,452.18,455.80,0
8890.432,411.67,452.18,455.80,0
8890.479,408.97,456.59,386.65,0
8890.542,406.02,490.78,359.64,0
8890.573,406.02,490.78,359.64,0
8890.604,406.02,490.78,359.64,0
8890.651,404.17,534.78,395.64,0
8890.682,404.17,534.78,395.64,0
8890.729,410.93,486.83,455.42,0
8890.76,410.93,486.83,455.42,0
8890.807,413.28,438.75,423.13,0
8890.838,413.28,438.75,423.13,0
8890.885,404.11,496.20,392.23,0
8890.948,404.11,496.20,392.23,0
8890.979,408.49,453.92,390.89,0
8891.026,408.49,453.92,390.89,0
8891.057,406.67,482.15,402.14,0
8891.104,406.67,482.15,402.14,0
8891.135,411.86,485.83,403.22,0
8891.182,411.86,485.83,403.22,0
8891.213,406.30,497.55,408.48,0
8891.26,406.30,497.55,408.48,0
8891.292,407.34,502.64,429.14,0
8891.323,407.34,502.64,429.14,0
8891.354,407.34,502.64,429.14,0
8891.401,403.27,515.41,398.68,0
8891.432,403.27,515.41,398.68,0
8891.479,406.15,462.65,1203.09,812.19995
8891.51,406.15,462.65,1203.09,0
8891.557,400.64,514.39,914.39,0
8891.588,400.64,514.39,914.39,0
8891.635,406.49,482.85,808.32,0
8891.667,406.49,482.85,808.32,0
8891.713,406.49,490.83,753.56,0
8891.76,406.49,490.83,753.56,0
8891.792,406.59,490.43,697.36,0
8891.838,406.59,490.43,697.36,0
8891.87,409.95,446.66,684.24,0
8891.932,409.95,446.66,684.24,0
8891.963,410.18,480.21,720.34,0
8892.026,410.18,480.21,720.34,0
8892.057,401.17,529.12,655.41,0
8892.104,401.17,529.12,655.41,0
8892.135,408.68,469.30,624.74,0
8892.167,408.68,469.30,624.74,0
8892.209,410.76,462.18,693.44,0
8892.271,410.76,462.18,693.44,0
8892.318,402.99,511.46,692.52,0
8892.349,402.99,511.46,692.52,0
8892.396,397.68,534.80,642.35,0
8892.427,397.68,534.80,642.35,0
8892.474,401.00,476.71,618.27,0
8892.505,401.00,476.71,618.27,0
8892.552,407.81,445.15,694.54,0
8892.599,407.81,445.15,694.54,0
8892.63,403.26,504.49,683.78,0
8892.677,403.26,504.49,683.78,0
8892.709,404.08,491.97,645.34,0
8892.755,404.08,491.97,645.34,0
8892.802,411.29,442.71,652.86,0
8892.834,411.29,442.71,652.86,0
8892.881,409.49,435.68,638.63,0
8892.912,409.49,435.68,638.63,0
8892.959,409.49,435.68,638.63,0
8893.006,405.58,483.02,645.06,0
8893.052,402.51,477.96,640.57,0
8893.099,402.51,477.96,640.57,0
8893.146,403.23,521.75,661.10,0
8893.193,403.23,521.75,661.10,0
8893.224,405.62,489.73,652.93,0
8893.271,405.62,489.73,652.93,0
8893.318,408.00,475.74,662.58,0
8893.365,408.00,475.74,662.58,0
8893.396,407.31,469.05,666.29,0
8893.443,407.31,469.05,666.29,0
8893.474,402.87,478.50,656.07,0
8893.521,402.87,478.50,656.07,0
8893.584,412.08,494.15,686.68,0
8893.615,409.40,458.63,637.78,0
8893.645,409.40,458.63,637.78,0
8893.684,409.40,458.63,637.78,0
8893.731,406.55,502.50,677.89,0
8893.762,406.55,502.50,677.89,0
8893.809,402.04,497.29,657.17,0
8893.856,402.04,497.29,657.17,0
8893.902,403.26,501.53,680.95,0
8893.934,403.26,501.53,680.95,0
8893.981,401.79,487.87,645.09,0
8894.027,401.79,487.87,645.09,0
8894.059,402.24,527.52,658.36,0
8894.09,402.24,527.52,658.36,0
8894.137,408.63,479.94,632.65,0
8894.179,408.63,479.94,632.65,0
