set terminal pdf
set title "Sample plot generated by BeepBeep 3"
set datafile separator ","
plot "-" u 1:2 t "S.WL3" w linespoints, "-" u 1:3 t "S.WL2" w linespoints, "-" u 1:4 t "S.WL1" w linespoints, "-" u 1:5 t "T.x" w linespoints
8861.996,405.20,496.24,405.02,0
8862.043,400.60,505.74,372.64,0
8862.074,400.60,505.74,372.64,0
8862.121,400.60,505.74,372.64,0
8862.184,409.61,480.02,397.47,0
8862.231,412.26,485.61,432.59,0
8862.262,412.26,485.61,432.59,0
8862.309,414.61,494.39,408.39,0
8862.34,414.61,494.39,408.39,0
8862.387,406.80,470.40,378.24,0
8862.434,406.80,470.40,378.24,0
8862.465,405.71,516.37,437.08,0
8862.496,405.71,516.37,437.08,0
8862.543,405.71,516.37,437.08,0
8862.575,405.55,503.15,423.62,0
8862.621,405.55,503.15,423.62,0
8862.653,407.88,483.38,403.20,0
8862.699,407.88,483.38,403.20,0
8862.746,401.19,510.27,414.52,0
8862.778,401.19,510.27,414.52,0
8862.824,405.16,481.11,418.65,0
8862.856,405.16,481.11,418.65,0
8862.903,399.93,541.47,406.91,0
8862.934,399.93,541.47,406.91,0
8862.981,406.79,502.70,446.89,0
8863.028,406.79,502.70,446.89,0
8863.059,411.64,447.07,435.72,0
8863.106,411.64,447.07,435.72,0
8863.137,412.29,476.83,369.09,0
8863.195,412.29,476.83,369.09,0
8863.242,401.83,524.56,361.16,0
8863.273,401.83,524.56,361.16,0
8863.304,403.14,495.46,395.92,0
8863.351,403.14,495.46,395.92,0
8863.382,401.43,496.86,400.88,0
8863.429,401.43,496.86,400.88,0
8863.46,402.78,493.09,398.32,0
8863.507,402.78,493.09,398.32,0
8863.538,402.78,493.09,398.32,0
8863.585,409.21,504.57,404.08,0
8863.617,409.21,504.57,404.08,0
8863.663,405.06,488.80,410.59,0
8863.695,405.06,488.80,410.59,0
8863.773,403.94,487.36,417.44,0
8863.82,405.26,488.01,422.28,0
8863.851,405.26,488.01,422.28,0
8863.898,401.85,500.96,421.19,0
8863.929,401.85,500.96,421.19,0
8863.96,407.36,486.94,417.55,0
8864.007,407.36,486.94,417.55,0
8864.054,407.36,486.94,417.55,0
8864.101,403.74,507.88,407.69,0
8864.132,409.74,476.14,417.66,0
8864.19,409.74,476.14,417.66,0
8864.221,405.88,502.79,447.31,0
8864.284,405.88,502.79,447.31,0
8864.331,409.93,486.31,395.27,0
8864.362,409.93,486.31,395.27,0
8864.409,414.79,463.19,440.02,0
8864.44,414.79,463.19,440.02,0
8864.487,406.62,498.59,404.51,0
